cityName,Content,Gender,nackName,Score,Time,userLevel,tagList
银川,植入广告过于明显,1,随风去,3,2021-02-18 18:45,2,"{'fixed': [{'id': 4, 'name': '购票'}]}"
辽中,期待唐人街探案4,1,_Me-未成年,5,2021-02-18 18:45,2,"{'fixed': [{'id': 1, 'name': '购票好评'}, {'id': 4, 'name': '购票'}]}"
连云港,说实话，一般……,2,劉鸿儒,2.5,2021-02-18 18:45,2,"{'fixed': [{'id': 4, 'name': '购票'}]}"
渭南,无厘头的插播,1,阿帅呀,2.5,2021-02-18 18:45,1,"{'fixed': [{'id': 4, 'name': '购票'}]}"
杭州,想陪着刘昊然一起从唐探开始,null,AuZ403670410,5,2021-02-18 18:45,2,"{'fixed': [{'id': 1, 'name': '购票好评'}, {'id': 4, 'name': '购票'}]}"
银川,还可以吧 王者荣耀太尬了,null,OxO501385419,3.5,2021-02-18 18:45,2,"{'fixed': [{'id': 4, 'name': '购票'}]}"
淄博,"我觉得很好看啊！
一上来就很好笑诶
不得不说唐探三里面的配乐真的绝了好叭！
配上巨幕杜比 太身临其境了！
野田昊好帅…hhh
看的很爽 期待唐探4",2,F,5,2021-02-18 18:45,2,"{'fixed': [{'id': 1, 'name': '购票好评'}, {'id': 4, 'name': '购票'}]}"
锦州,还行，结局一般,null,zzj689363833,4,2021-02-18 18:45,2,"{'fixed': [{'id': 1, 'name': '购票好评'}, {'id': 4, 'name': '购票'}]}"
大理,反正我喜欢的。,null,pRe299492264,5,2021-02-18 18:45,2,"{'fixed': [{'id': 1, 'name': '购票好评'}, {'id': 4, 'name': '购票'}]}"
长沙,还好咯 没什么蛮大的内涵,null,仙柚kiyomi,3.5,2021-02-18 18:44,2,"{'fixed': [{'id': 4, 'name': '购票'}]}"
遵义,说实话~~感觉一般,1,安稳先生,2,2021-02-18 18:44,2,"{'fixed': [{'id': 2, 'name': '购票差评'}, {'id': 4, 'name': '购票'}]}"
商丘,挺好看的。。。。。。,2,张小护m,5,2021-02-18 18:44,1,"{'fixed': [{'id': 1, 'name': '购票好评'}, {'id': 4, 'name': '购票'}]}"
长春,没有前俩部好看，没有什么破案心意,null,Rhn278511101,2.5,2021-02-18 18:44,2,"{'fixed': [{'id': 4, 'name': '购票'}]}"
射阳,有点失望～～,2,dpJ676181335,3.5,2021-02-18 18:44,2,"{'fixed': [{'id': 4, 'name': '购票'}]}"
自贡,我没有专业影评人那么精益求精，我觉得笑点地方很不错，总体也还好，并没有某些人说的那么不堪,2,🍓      Y.yཻ🧸ྀི,5,2021-02-18 18:44,3,"{'fixed': [{'id': 1, 'name': '购票好评'}, {'id': 4, 'name': '购票'}]}"
泰州,没有在大年初一凑热闹票太贵,null,晶哥很酷哦,3.5,2021-02-18 18:44,1,"{'fixed': [{'id': 4, 'name': '购票'}]}"
株洲,剧情太杂乱了不过还是烧脑最后彩蛋是有第4部？挺期待的。,1,刘兵,4.5,2021-02-18 18:44,2,"{'fixed': [{'id': 1, 'name': '购票好评'}, {'id': 4, 'name': '购票'}]}"
射阳,秦朝之风，唐朝之仁，宋朝之义,1,蒙奇·D·黄猿,5,2021-02-18 18:44,3,"{'fixed': [{'id': 1, 'name': '购票好评'}, {'id': 4, 'name': '购票'}]}"
